Time, Voltage
0.0000,1.1494
0.0017,1.1494
0.0032,1.1444
0.0048,1.1494
0.0064,1.1494
0.0080,1.1393
0.0096,1.1494
0.0112,1.1494
0.0128,1.1494
0.0144,1.1444
0.0160,1.1444
0.0175,1.1494
0.0191,1.1494
0.0207,1.1494
0.0223,1.1494
0.0239,1.1444
0.0255,1.1494
0.0271,1.1444
0.0287,1.1444
0.0303,1.1494
0.0318,1.1444
0.0334,1.1494
0.0350,1.1494
0.0366,1.1494
0.0382,1.1494
0.0398,1.1494
0.0414,1.1494
0.0430,1.1444
0.0446,1.1494
0.0461,1.1494
0.0477,1.1494
0.0493,1.1494
0.0509,1.1494
0.0525,1.1494
0.0541,1.1494
0.0557,1.1444
0.0573,1.1444
0.0589,1.1494
0.0605,1.1444
0.0620,1.1494
0.0636,1.1494
0.0652,1.1494
0.0668,1.1494
0.0684,1.1444
0.0700,1.1494
0.0716,1.1494
0.0732,1.1494
0.0748,1.1494
0.0764,1.1494
0.0780,1.1494
0.0795,1.1494
0.0811,1.1444
0.0827,1.1494
0.0843,1.1494
0.0859,1.1494
0.0875,1.1444
0.0891,1.1494
0.0907,1.1444
0.0923,1.1494
0.0939,1.1494
0.0954,1.1494
0.0970,1.1494
0.0986,1.1494
0.1002,1.1494
0.1018,1.1444
0.1034,1.1494
0.1050,1.1494
0.1066,1.1444
0.1082,1.1444
0.1098,1.1444
0.1114,1.1494
0.1129,1.1494
0.1145,1.1444
0.1161,1.1494
0.1177,1.1494
0.1193,1.1444
0.1209,1.1494
0.1225,1.1494
0.1241,1.1494
0.1257,1.1444
0.1273,1.1494
0.1289,1.1494
0.1305,1.1444
0.1321,1.1444
0.1337,1.1494
0.1353,1.1444
0.1369,1.1494
0.1385,1.1444
0.1401,1.1444
0.1416,1.1494
0.1432,1.1494
0.1448,1.1494
0.1464,1.1444
0.1480,1.1444
0.1496,1.1494
0.1512,1.1444
0.1528,1.1444
0.1544,1.1494
0.1560,1.1494
0.1576,1.1494
0.1591,1.1444
0.1607,1.1494
0.1623,1.1494
0.1639,1.1444
0.1655,1.1494
0.1671,1.1494
0.1687,1.1494
0.1703,1.1444
0.1719,1.1494
0.1735,1.1494
0.1751,1.1444
0.1767,1.1494
0.1783,1.1494
0.1800,1.1494
0.1816,1.1494
0.1832,1.1494
0.1849,1.1494
0.1865,1.1494
0.1881,1.1444
0.1898,1.1494
0.1914,1.1494
0.1931,1.1494
0.1946,1.1494
0.1962,1.1494
0.1978,1.1444
0.1994,1.1444
0.2010,1.1494
0.2026,1.1494
0.2042,1.1444
0.2058,1.1494
0.2074,1.1494
0.2090,1.1444
0.2106,1.1444
0.2122,1.1494
0.2138,1.1444
0.2154,1.1444
0.2170,1.1494
0.2186,1.1494
0.2201,1.1444
0.2217,1.1494
0.2233,1.1494
0.2249,1.1444
0.2265,1.1444
0.2281,1.1444
0.2297,1.1444
0.2313,1.1494
0.2329,1.1494
0.2345,1.1494
0.2361,1.1494
0.2376,1.1494
0.2392,1.1494
0.2408,1.1545
0.2424,1.1444
0.2440,1.1494
0.2456,1.1444
0.2472,1.1444
0.2488,1.1494
0.2504,1.1444
0.2520,1.1494
0.2536,1.1494
0.2551,1.1444
0.2567,1.1494
0.2583,1.1494
0.2599,1.1444
0.2615,1.1444
0.2631,1.1494
0.2647,1.1494
0.2663,1.1444
0.2679,1.1494
0.2695,1.1494
0.2711,1.1444
0.2726,1.1494
0.2742,1.1393
0.2758,1.1494
0.2774,1.1494
0.2790,1.1494
0.2806,1.1494
0.2822,1.1444
0.2838,1.1494
0.2854,1.1494
0.2870,1.1494
0.2886,1.1494
0.2901,1.1444
0.2917,1.1494
0.2933,1.1494
0.2949,1.1444
0.2965,1.1444
0.2981,1.1494
0.2997,1.1444
0.3013,1.1494
0.3029,1.1494
0.3045,1.1494
0.3061,1.1494
0.3076,1.1444
0.3092,1.1494
0.3108,1.1494
0.3124,1.1494
0.3140,1.1494
0.3156,1.1444
0.3172,1.1494
0.3188,1.1494
0.3204,1.1444
0.3220,1.1494
0.3236,1.1444
0.3252,1.1494
0.3267,1.1444
0.3283,1.1494
0.3299,1.1444
0.3315,1.1494
0.3331,1.1494
0.3347,1.1494
0.3363,1.1444
0.3379,1.1494
0.3395,1.1444
0.3411,1.1444
0.3427,1.1494
0.3442,1.1444
0.3458,1.1444
0.3474,1.1494
0.3490,1.1494
0.3506,1.1494
0.3522,1.1494
0.3538,1.1444
0.3554,1.1494
0.3571,1.1545
0.3587,1.1494
0.3604,1.1444
0.3620,1.1494
0.3636,1.1494
0.3653,1.1444
0.3669,1.1444
0.3685,1.1444
0.3701,1.1494
0.3717,1.1494
0.3733,1.1494
0.3749,1.1494
0.3765,1.1494
0.3780,1.1494
0.3796,1.1444
0.3812,1.1494
0.3828,1.1494
0.3845,1.1494
0.3861,1.1444
0.3877,1.1444
0.3893,1.1494
0.3909,1.1494
0.3925,1.1494
0.3941,1.1444
0.3957,1.1494
0.3972,1.1494
0.3988,1.1494
0.4004,1.1494
0.4031,1.1494
0.4048,1.1494
0.4065,1.1444
0.4082,1.1494
0.4098,1.1494
0.4113,1.1444
0.4129,1.1494
0.4145,1.1494
0.4161,1.1444
0.4177,1.1494
0.4193,1.1494
0.4209,1.1444
0.4225,1.1444
0.4241,1.1494
0.4257,1.1494
0.4273,1.1494
0.4288,1.1494
0.4304,1.1494
0.4320,1.1444
0.4336,1.1494
0.4352,1.1494
0.4368,1.1444
0.4384,1.1494
0.4400,1.1444
0.4416,1.1494
0.4432,1.1494
0.4448,1.1494
0.4464,1.1494
0.4479,1.1494
0.4495,1.1393
0.4511,1.1444
0.4527,1.1444
0.4543,1.1444
0.4559,1.1494
0.4575,1.1444
0.4591,1.1494
0.4607,1.1444
0.4623,1.1494
0.4638,1.1494
0.4654,1.1444
0.4670,1.1444
0.4686,1.1494
0.4702,1.1444
0.4718,1.1444
0.4734,1.1444
0.4750,1.1444
0.4765,1.1494
0.4781,1.1494
0.4797,1.1444
0.4813,1.1494
0.4829,1.1444
0.4845,1.1444
0.4861,1.1494
0.4877,1.1494
0.4893,1.1494
0.4909,1.1444
0.4926,1.1444
0.4942,1.1494
0.4958,1.1494
0.4974,1.1494
0.4991,1.1444
0.5007,1.1494
0.5023,1.1494
0.5039,1.1444
0.5055,1.1494
0.5071,1.1444
0.5087,1.1494
0.5103,1.1494
0.5118,1.1444
0.5134,1.1494
0.5150,1.1494
0.5166,1.1494
0.5182,1.1494
0.5198,1.1444
0.5214,1.1494
0.5229,1.1444
0.5245,1.1494
0.5261,1.1494
0.5277,1.1494
0.5293,1.1494
0.5309,1.1494
0.5325,1.1444
