Time, Voltage
0.0000,1.6457
0.0017,1.6507
0.0032,1.6457
0.0048,1.6457
0.0064,1.6507
0.0080,1.6507
0.0096,1.6457
0.0112,1.6507
0.0128,1.6457
0.0144,1.6507
0.0160,1.6457
0.0176,1.6507
0.0192,1.6507
0.0207,1.6457
0.0223,1.6507
0.0239,1.6507
0.0255,1.6457
0.0271,1.6507
0.0287,1.6558
0.0303,1.6457
0.0319,1.6558
0.0335,1.6457
0.0350,1.6457
0.0366,1.6457
0.0382,1.6507
0.0398,1.6507
0.0414,1.6507
0.0430,1.6457
0.0446,1.6507
0.0462,1.6507
0.0477,1.6507
0.0493,1.6558
0.0509,1.6507
0.0525,1.6507
0.0541,1.6457
0.0557,1.6507
0.0573,1.6507
0.0589,1.6457
0.0605,1.6507
0.0621,1.6558
0.0637,1.6507
0.0652,1.6457
0.0668,1.6507
0.0684,1.6558
0.0700,1.6507
0.0716,1.6507
0.0732,1.6406
0.0748,1.6406
0.0764,1.6457
0.0780,1.6507
0.0796,1.6507
0.0812,1.6507
0.0827,1.6507
0.0843,1.6507
0.0859,1.6507
0.0875,1.6507
0.0891,1.6507
0.0907,1.6507
0.0923,1.6457
0.0939,1.6457
0.0955,1.6457
0.0971,1.6507
0.0987,1.6457
0.1002,1.6507
0.1018,1.6507
0.1034,1.6507
0.1050,1.6457
0.1066,1.6457
0.1082,1.6507
0.1098,1.6406
0.1114,1.6457
0.1130,1.6507
0.1146,1.6507
0.1162,1.6507
0.1178,1.6507
0.1194,1.6507
0.1209,1.6558
0.1225,1.6507
0.1241,1.6507
0.1257,1.6507
0.1273,1.6507
0.1289,1.6558
0.1305,1.6457
0.1321,1.6507
0.1337,1.6457
0.1353,1.6507
0.1369,1.6507
0.1384,1.6507
0.1400,1.6507
0.1416,1.6507
0.1433,1.6457
0.1450,1.6507
0.1466,1.6507
0.1482,1.6457
0.1498,1.6507
0.1514,1.6507
0.1530,1.6507
0.1546,1.6507
0.1561,1.6507
0.1577,1.6507
0.1593,1.6558
0.1610,1.6507
0.1626,1.6507
0.1643,1.6507
0.1659,1.6507
0.1675,1.6406
0.1691,1.6457
0.1708,1.6507
0.1724,1.6507
0.1740,1.6457
0.1757,1.6507
0.1773,1.6457
0.1789,1.6507
0.1805,1.6507
0.1821,1.6507
0.1837,1.6457
0.1853,1.6507
0.1869,1.6457
0.1885,1.6507
0.1901,1.6507
0.1917,1.6507
0.1933,1.6507
0.1949,1.6507
0.1964,1.6457
0.1980,1.6507
0.1996,1.6406
0.2012,1.6457
0.2028,1.6457
0.2044,1.6457
0.2060,1.6457
0.2076,1.6507
0.2092,1.6507
0.2108,1.6457
0.2124,1.6507
0.2140,1.6507
0.2155,1.6507
0.2171,1.6457
0.2187,1.6507
0.2203,1.6507
0.2219,1.6507
0.2235,1.6457
0.2251,1.6507
0.2267,1.6507
0.2283,1.6558
0.2299,1.6507
0.2315,1.6507
0.2330,1.6507
0.2346,1.6507
0.2362,1.6507
0.2378,1.6507
0.2394,1.6457
0.2410,1.6507
0.2426,1.6507
0.2442,1.6507
0.2458,1.6507
0.2474,1.6558
0.2490,1.6457
0.2505,1.6457
0.2521,1.6457
0.2537,1.6507
0.2553,1.6507
0.2569,1.6507
0.2585,1.6457
0.2601,1.6507
0.2617,1.6457
0.2633,1.6507
0.2649,1.6507
0.2665,1.6507
0.2680,1.6507
0.2696,1.6507
0.2712,1.6507
0.2728,1.6507
0.2744,1.6507
0.2760,1.6507
0.2776,1.6507
0.2792,1.6457
0.2808,1.6457
0.2824,1.6507
0.2840,1.6457
0.2855,1.6507
0.2871,1.6507
0.2887,1.6457
0.2903,1.6507
0.2919,1.6507
0.2935,1.6457
0.2951,1.6507
0.2967,1.6558
0.2983,1.6507
0.2999,1.6507
0.3016,1.6507
0.3032,1.6507
0.3052,1.6507
0.3069,1.6457
0.3085,1.6457
0.3101,1.6457
0.3117,1.6457
0.3133,1.6457
0.3149,1.6457
0.3165,1.6507
0.3181,1.6406
0.3196,1.6507
0.3212,1.6457
0.3228,1.6507
0.3244,1.6406
0.3260,1.6507
0.3276,1.6406
0.3292,1.6507
0.3309,1.6457
0.3325,1.6507
0.3341,1.6507
0.3357,1.6507
0.3373,1.6507
0.3389,1.6507
0.3405,1.6507
0.3421,1.6507
0.3437,1.6457
0.3452,1.6457
0.3468,1.6507
0.3484,1.6507
0.3500,1.6457
0.3516,1.6507
0.3532,1.6507
0.3548,1.6507
0.3564,1.6507
0.3580,1.6457
0.3596,1.6507
0.3612,1.6457
0.3627,1.6457
0.3643,1.6507
0.3659,1.6457
0.3675,1.6507
0.3691,1.6507
0.3707,1.6507
0.3723,1.6457
0.3739,1.6507
0.3755,1.6507
0.3771,1.6507
0.3787,1.6457
0.3802,1.6507
0.3818,1.6507
0.3834,1.6457
0.3850,1.6507
0.3866,1.6507
0.3882,1.6507
0.3898,1.6507
0.3914,1.6507
0.3930,1.6507
0.3946,1.6507
0.3962,1.6457
0.3977,1.6507
0.3993,1.6507
0.4009,1.6507
0.4025,1.6507
0.4041,1.6507
0.4057,1.6507
0.4073,1.6457
0.4089,1.6558
0.4105,1.6507
0.4121,1.6507
0.4137,1.6507
0.4152,1.6558
0.4168,1.6507
0.4184,1.6507
0.4200,1.6507
0.4216,1.6507
0.4232,1.6507
0.4248,1.6507
0.4264,1.6457
0.4280,1.6507
0.4296,1.6507
0.4312,1.6507
0.4328,1.6507
0.4344,1.6457
0.4359,1.6507
0.4375,1.6507
0.4391,1.6558
0.4407,1.6406
0.4423,1.6457
0.4439,1.6457
0.4455,1.6457
0.4471,1.6507
0.4487,1.6507
0.4503,1.6457
0.4519,1.6457
0.4534,1.6507
0.4550,1.6558
0.4566,1.6457
0.4582,1.6507
0.4598,1.6507
0.4614,1.6507
0.4630,1.6507
0.4646,1.6507
0.4662,1.6507
0.4678,1.6507
0.4694,1.6558
0.4709,1.6507
0.4725,1.6507
0.4741,1.6558
0.4757,1.6507
0.4773,1.6507
0.4789,1.6507
0.4805,1.6507
0.4821,1.6507
0.4837,1.6558
0.4853,1.6507
0.4868,1.6507
0.4884,1.6507
0.4900,1.6457
0.4916,1.6457
0.4932,1.6507
0.4948,1.6457
0.4964,1.6457
0.4980,1.6457
0.4996,1.6507
0.5012,1.6457
0.5028,1.6507
0.5044,1.6457
0.5060,1.6507
0.5075,1.6507
0.5091,1.6457
0.5107,1.6507
0.5123,1.6457
0.5139,1.6507
0.5155,1.6457
0.5171,1.6457
0.5187,1.6507
0.5203,1.6507
0.5219,1.6507
0.5235,1.6507
0.5251,1.6457
0.5267,1.6507
0.5282,1.6457
0.5298,1.6507
0.5314,1.6507
0.5330,1.6507
0.5346,1.6507
0.5362,1.6507
0.5379,1.6507
0.5395,1.6507
0.5412,1.6457
0.5428,1.6507
0.5444,1.6507
0.5461,1.6507
