Time, Voltage
0.0000,0.8861
0.0017,0.8861
0.0032,0.8811
0.0048,0.8811
0.0064,0.8811
0.0080,0.8811
0.0096,0.8811
0.0112,0.8861
0.0128,0.8811
0.0144,0.8811
0.0160,0.8861
0.0175,0.8861
0.0191,0.8811
0.0207,0.8861
0.0223,0.8811
0.0239,0.8811
0.0255,0.8861
0.0271,0.8811
0.0287,0.8811
0.0303,0.8811
0.0319,0.8811
0.0335,0.8811
0.0350,0.8811
0.0366,0.8811
0.0382,0.8861
0.0398,0.8811
0.0414,0.8861
0.0430,0.8861
0.0446,0.8811
0.0462,0.8811
0.0478,0.8811
0.0494,0.8811
0.0510,0.8861
0.0526,0.8861
0.0542,0.8811
0.0557,0.8811
0.0573,0.8811
0.0589,0.8861
0.0605,0.8811
0.0621,0.8861
0.0637,0.8861
0.0653,0.8811
0.0669,0.8861
0.0685,0.8811
0.0701,0.8760
0.0717,0.8811
0.0733,0.8861
0.0748,0.8861
0.0764,0.8811
0.0780,0.8811
0.0796,0.8760
0.0812,0.8861
0.0828,0.8861
0.0844,0.8811
0.0860,0.8861
0.0876,0.8861
0.0892,0.8811
0.0908,0.8811
0.0924,0.8811
0.0940,0.8861
0.0955,0.8811
0.0971,0.8811
0.0987,0.8811
0.1003,0.8760
0.1019,0.8811
0.1035,0.8811
0.1051,0.8811
0.1067,0.8811
0.1083,0.8861
0.1099,0.8811
0.1115,0.8811
0.1131,0.8861
0.1147,0.8861
0.1163,0.8861
0.1178,0.8811
0.1194,0.8861
0.1210,0.8811
0.1226,0.8861
0.1242,0.8861
0.1258,0.8861
0.1274,0.8811
0.1290,0.8811
0.1306,0.8811
0.1322,0.8811
0.1338,0.8811
0.1354,0.8811
0.1369,0.8811
0.1385,0.8760
0.1401,0.8811
0.1417,0.8811
0.1433,0.8861
0.1449,0.8861
0.1465,0.8861
0.1481,0.8811
0.1497,0.8811
0.1513,0.8861
0.1529,0.8811
0.1545,0.8811
0.1560,0.8811
0.1576,0.8811
0.1592,0.8811
0.1608,0.8861
0.1624,0.8861
0.1640,0.8861
0.1656,0.8811
0.1672,0.8811
0.1688,0.8811
0.1704,0.8861
0.1720,0.8811
0.1736,0.8861
0.1751,0.8861
0.1767,0.8811
0.1783,0.8811
0.1799,0.8811
0.1815,0.8811
0.1831,0.8811
0.1847,0.8811
0.1863,0.8861
0.1879,0.8811
0.1895,0.8811
0.1911,0.8861
0.1927,0.8811
0.1943,0.8861
0.1958,0.8861
0.1974,0.8861
0.1990,0.8811
0.2006,0.8861
0.2022,0.8861
0.2038,0.8811
0.2054,0.8811
0.2070,0.8861
0.2086,0.8861
0.2102,0.8811
0.2118,0.8861
0.2134,0.8811
0.2149,0.8811
0.2165,0.8861
0.2181,0.8861
0.2197,0.8861
0.2213,0.8811
0.2229,0.8811
0.2245,0.8811
0.2261,0.8861
0.2277,0.8811
0.2293,0.8811
0.2309,0.8861
0.2325,0.8811
0.2341,0.8811
0.2356,0.8811
0.2372,0.8861
0.2388,0.8861
0.2404,0.8861
0.2420,0.8811
0.2436,0.8811
0.2452,0.8811
0.2468,0.8811
0.2484,0.8811
0.2500,0.8861
0.2516,0.8811
0.2532,0.8811
0.2548,0.8861
0.2563,0.8861
0.2579,0.8861
0.2595,0.8811
0.2611,0.8811
0.2627,0.8811
0.2643,0.8811
0.2659,0.8811
0.2675,0.8811
0.2691,0.8811
0.2707,0.8811
0.2723,0.8811
0.2738,0.8861
0.2754,0.8861
0.2770,0.8861
0.2786,0.8811
0.2802,0.8811
0.2818,0.8861
0.2834,0.8861
0.2850,0.8811
0.2866,0.8811
0.2882,0.8811
0.2898,0.8811
0.2914,0.8861
0.2929,0.8811
0.2945,0.8861
0.2961,0.8811
0.2977,0.8811
0.2993,0.8811
0.3009,0.8861
0.3025,0.8811
0.3041,0.8811
0.3057,0.8811
0.3073,0.8811
0.3089,0.8811
0.3105,0.8811
0.3120,0.8811
0.3136,0.8811
0.3152,0.8811
0.3168,0.8811
0.3184,0.8811
0.3200,0.8811
0.3216,0.8811
0.3232,0.8861
0.3248,0.8811
0.3264,0.8811
0.3280,0.8811
0.3296,0.8811
0.3311,0.8811
0.3327,0.8861
0.3343,0.8811
0.3359,0.8811
0.3375,0.8811
0.3391,0.8811
0.3407,0.8811
0.3423,0.8811
0.3439,0.8861
0.3455,0.8861
0.3471,0.8811
0.3487,0.8861
0.3502,0.8861
0.3518,0.8811
0.3534,0.8861
0.3551,0.8811
0.3568,0.8811
0.3584,0.8811
