Time, Voltage
0.0000,1.3925
0.0017,1.3925
0.0032,1.3925
0.0048,1.3975
0.0064,1.3925
0.0080,1.3925
0.0096,1.3925
0.0112,1.3874
0.0128,1.3925
0.0144,1.3975
0.0160,1.3975
0.0175,1.3925
0.0191,1.3975
0.0207,1.3925
0.0224,1.3874
0.0240,1.3925
0.0257,1.3925
0.0273,1.3975
0.0289,1.3925
0.0305,1.3975
0.0321,1.3975
0.0338,1.3925
0.0355,1.3874
0.0371,1.3874
0.0387,1.3925
0.0403,1.3925
0.0419,1.3925
0.0435,1.3925
0.0451,1.3925
0.0467,1.3925
0.0483,1.3874
0.0499,1.3975
0.0515,1.3925
0.0531,1.3975
0.0547,1.3874
0.0563,1.3925
0.0578,1.3925
0.0594,1.3925
0.0610,1.3975
0.0626,1.3975
0.0642,1.3975
0.0658,1.3925
0.0674,1.3925
0.0690,1.3975
0.0705,1.3975
0.0721,1.3925
0.0737,1.3925
0.0773,1.3925
0.0790,1.3874
0.0806,1.3975
0.0822,1.3925
0.0838,1.3925
0.0854,1.3975
0.0870,1.3925
0.0886,1.3975
0.0902,1.3925
0.0918,1.3874
0.0933,1.3925
0.0949,1.3925
0.0965,1.3925
0.0981,1.3925
0.0997,1.3925
0.1013,1.3925
0.1029,1.3925
0.1045,1.3925
0.1160,1.3925
0.1176,1.3925
0.1192,1.3925
0.1208,1.3975
0.1224,1.3925
0.1239,1.3874
0.1255,1.3874
0.1271,1.3925
0.1287,1.3975
0.1303,1.3925
0.1319,1.3874
0.1335,1.3874
0.1351,1.3925
0.1367,1.3975
0.1383,1.3925
0.1399,1.3925
0.1414,1.3975
0.1430,1.3925
0.1446,1.3925
0.1462,1.3925
0.1478,1.3975
0.1494,1.3925
0.1510,1.3925
0.1526,1.3975
0.1542,1.3925
0.1558,1.3975
0.1573,1.3975
0.1589,1.3975
0.1605,1.3925
0.1621,1.3925
0.1637,1.3975
0.1653,1.3925
0.1669,1.3925
0.1685,1.3925
0.1701,1.3925
0.1717,1.3925
0.1733,1.3975
0.1748,1.3874
0.1765,1.3925
0.1780,1.3874
0.1796,1.3874
0.1812,1.3925
0.1828,1.3975
0.1844,1.3925
0.1860,1.3925
0.1876,1.3975
0.1892,1.3975
0.1908,1.3925
0.1924,1.3925
0.1940,1.3925
0.1955,1.3975
0.1971,1.3925
0.1987,1.3975
0.2003,1.3925
0.2019,1.3925
0.2035,1.3925
0.2051,1.3925
0.2067,1.3925
0.2083,1.3874
0.2099,1.3925
0.2114,1.3925
0.2130,1.3975
0.2146,1.3925
0.2162,1.3975
0.2178,1.3975
0.2194,1.3925
0.2210,1.3925
0.2226,1.3925
0.2242,1.3925
0.2258,1.3975
0.2274,1.3975
0.2290,1.3975
0.2306,1.3975
0.2321,1.3925
0.2337,1.3925
0.2353,1.3925
0.2369,1.3975
0.2385,1.3975
0.2401,1.3925
0.2417,1.3925
0.2433,1.3925
0.2449,1.3925
0.2465,1.3975
0.2481,1.3925
0.2497,1.3925
0.2512,1.3975
0.2528,1.3925
0.2544,1.3975
0.2560,1.3975
0.2576,1.3925
